subID	 trial	 prime	 target	 response	 Acc	 RT
1001	 1	 attaque	 habitude	 j	 1.000000	 0.754293
1001	 2	 film	 opéra	 f	 1.000000	 0.886233
1001	 3	 oignon	 ail	 f	 1.000000	 0.629785
1001	 4	 bouteille	 rideau	 j	 1.000000	 0.647510
1001	 5	 émotion	 ballon	 j	 1.000000	 0.669486
1001	 6	 récitation	 sac-à-dos	 j	 1.000000	 0.805101
1001	 7	 fraise	 mangue	 f	 1.000000	 0.822992
1001	 8	 considérer	 surveiller	 f	 0.000000	 1.042653
1001	 9	 examen	 chaussette	 j	 1.000000	 0.870157
1001	 10	 servant	 raisin	 j	 1.000000	 0.841602
1001	 11	 voleur	 police	 f	 1.000000	 0.679201
1001	 12	 ventre	 révolution	 j	 1.000000	 0.888999
1001	 13	 cygne	 tuyau	 j	 1.000000	 0.776502
1001	 14	 nouilles	 ravioli	 f	 1.000000	 0.818177
1001	 15	 violence	 journal	 j	 1.000000	 0.692026
1001	 16	 biographie	 tradition	 j	 1.000000	 1.085650
1001	 17	 crayon	 voiture	 j	 1.000000	 0.833245
1001	 18	 radio	 téléphone	 f	 1.000000	 0.751032
1001	 19	 biscuit	 égalité	 j	 1.000000	 0.711015
1001	 20	 société	 photo	 j	 1.000000	 0.860720
1001	 21	 blague	 efficacité	 j	 1.000000	 0.846286
1001	 22	 colis	 timbre	 f	 1.000000	 0.760130
1001	 23	 diviser	 canoter	 j	 1.000000	 0.985880
1001	 24	 mur	 toit	 f	 1.000000	 0.767571
1001	 25	 pomme	 orange	 f	 1.000000	 0.531216
1001	 26	 couleur	 sérieux	 j	 1.000000	 0.531332
1001	 27	 clavier	 écran	 f	 1.000000	 0.689247
1001	 28	 angle	 rôle	 j	 1.000000	 0.713007
1001	 29	 lecture	 clé	 j	 1.000000	 0.692862
1001	 30	 publicité	 séisme	 j	 1.000000	 0.800520
1001	 31	 danse	 yoga	 j	 0.000000	 0.830265
1001	 32	 représentant	 prière	 j	 1.000000	 0.811753
1001	 33	 erreur	 lumière	 j	 1.000000	 0.967607
1001	 34	 vrac	 promenade	 j	 1.000000	 0.665312
1001	 35	 maison	 château	 f	 1.000000	 0.817140
1001	 36	 cheveux	 investissement	 j	 1.000000	 0.630838
1001	 37	 cuisine	 signature	 j	 1.000000	 0.596424
